# Biokinesis-SDK Export,
# sensor_id: 1,
# label: Xiao_Arm,
# signal: emg_filtered,
# unit: uV,
# exported_at: 2026-05-02T23:18:19,
timestamp_us,emg_uV
1005404750,-12605.58262
1005405750,-2191.524329
1005406516,-30992.81048
1005407516,-66072.91388
1005408516,-73984.89453
1005409516,-65566.23353
1005410516,-47359.23454
1005411516,-15524.12998
1005412516,17910.88237
1005413516,28333.97906
1005414516,16077.52868
1005415516,3695.447575
1005417258,13389.97697
1005418258,27846.26152
1005419258,34771.37921
1005420258,32598.32083
1005421258,19535.52402
1005422258,-3268.626377
1005423258,-22659.09557
1005424258,-23902.86323
1005425258,-11783.33991
1005426258,-2316.507903
1005427024,-10373.2936
1005428024,-19102.68142
1005429024,-22476.76604
1005430024,-21983.95309
1005431024,-15608.5105
1005432024,-1280.435876
1005433024,12935.11249
1005434024,15380.7086
1005435024,7931.511715
1005436024,1621.698375
1005436789,28089.42193
1005437789,27048.70929
1005438789,17462.31298
1005439789,2744.554563
1005440789,-14178.1853
1005441789,-29779.06489
1005442789,-35629.37898
1005443789,-26423.89313
1005444789,-10925.99888
1005445789,-1633.769557
1005446555,-19761.79316
1005447555,-36086.66973
1005448555,-32262.88084
1005449555,-19534.70551
1005450555,-10347.24475
1005451555,-5857.269019
1005452555,-2471.621782
1005453555,48.606503
1005454555,711.331913
1005455555,412.284732
1005457297,-41602.36285
1005458297,-52074.65145
1005459297,-45964.30867
1005460297,-27694.38844
1005461297,-173.970721
1005462297,31742.95301
1005463297,50487.87131
1005464297,41724.20289
1005465297,18314.72189
1005466297,3093.360582
1005467063,48697.92228
1005468063,39336.43223
1005469063,13461.75351
1005470063,-18293.77707
1005471063,-44049.21905
1005472063,-54984.69402
1005473063,-47234.741
1005474063,-27208.1842
1005475063,-9062.006912
1005476063,-810.375916
1005476829,-18149.60914
1005477829,-10033.48864
1005478829,7615.718134
1005479829,22688.0269
1005480829,24648.07111
1005481829,13108.37344
1005482829,-1399.183165
1005483829,-7349.2795
1005484829,-4642.778709
1005485829,-1110.994659
1005486594,534.004715
1005487594,-17099.36682
1005488594,-24988.46072
1005489594,-25729.5458
1005490594,-23997.56413
1005491594,-19901.9631
1005492594,-12723.02884
1005493594,-5314.856363
1005494594,-1002.753743
1005495594,272.363706
1005496360,-27741.47723
1005497360,-38720.37931
1005498360,-33323.64031
1005499360,-20591.06609
1005500360,-6855.016064
1005501360,8142.147136
1005502360,19441.56529
1005503360,18594.77547
1005504360,8956.346968
1005505360,1732.348413
1005507102,37633.14594
1005508102,51913.98507
1005509102,50018.24941
1005510102,34708.49903
1005511102,7968.879253
1005512102,-25832.5528
1005513102,-48157.0048
1005514102,-42028.65494
1005515102,-19049.94944
1005516102,-3366.808332
1005516868,-20004.86166
1005517868,-39619.50411
1005518868,-41816.1832
1005519868,-36658.68606
1005520868,-28737.69727
1005521868,-12982.24238
1005522868,6120.690361
1005523868,13855.52296
1005524868,8471.873573
1005525868,2060.190752
1005526633,5070.494112
1005527633,16807.61901
1005528633,24754.64376
1005529633,25677.82376
1005530633,17347.40999
1005531633,1022.846501
1005532633,-13521.08809
1005533633,-15558.04926
1005534633,-7919.278351
1005535633,-1619.035569
1005536399,-26.578365
1005537399,-17174.19751
1005538399,-25265.04382
1005539399,-26665.76474
1005540399,-24859.51665
1005541399,-19262.44027
1005542399,-10383.0748
1005543399,-2870.504545
1005544399,200.11455
1005545399,491.514606
1005547141,-20753.06496
1005548141,-24507.49255
1005549141,-14800.44512
1005550141,-2453.872346
1005551141,4124.06133
1005552141,5944.294752
1005553141,6077.142923
1005554141,4623.470743
1005555141,2087.708958
1005556141,391.430719
1005556907,5571.804912
1005557907,2752.002934
1005558907,3719.813781
1005559907,6719.758366
1005560907,4438.867187
1005561907,-6913.3701
1005562907,-18513.89813
1005563907,-18313.68177
1005564907,-8809.449964
1005565907,-1570.777827
1005566672,-28778.03862
1005567672,-47258.23427
1005568672,-43728.03729
1005569672,-29171.61524
1005570672,-13900.58177
1005571672,1303.457351
1005572672,13281.32569
1005573672,14665.81125
1005574672,7546.876313
1005575672,1633.952095
1005576438,-360.50632
1005577438,-1174.239739
1005578438,363.401886
1005579438,2396.27739
1005580438,1980.854467
1005581438,-1702.534956
1005582438,-5479.457719
1005583438,-5540.271631
1005584438,-2681.85505
1005585438,-479.935493
1005587180,1678.771558
1005588180,-8191.16477
1005589180,-12469.86031
1005590180,-13507.97532
1005591180,-14373.6067
1005592180,-14448.34541
1005593180,-11616.11981
1005594180,-6452.738042
1005595180,-2019.899582
1005596180,-68.612779
1005596946,-18194.7997
1005597946,-25770.32319
1005598946,-21567.41311
1005599946,-11858.32267
1005600946,-2447.807902
1005601946,5755.321484
1005602946,10884.70654
1005603946,9751.985132
1005604946,4571.313485
1005605946,878.153377
1005606711,11236.03314
1005607711,13596.62216
1005608711,17525.88436
1005609711,20613.1602
1005610711,13511.43017
1005611711,-7897.93633
1005612711,-28549.05657
1005613711,-29133.40024
1005614711,-14171.4476
1005615711,-2621.980591
1005616477,-33000.69019
1005617477,-60968.48329
1005618477,-61551.0098
1005619477,-46720.60032
1005620477,-27568.91192
1005621477,-4590.03435
1005622477,15591.4339
1005623477,19975.2821
1005624477,10739.32639
1005625477,2419.688137
1005627219,-7493.30565
1005628219,-8500.728807
1005629219,-4529.924249
1005630219,379.476415
1005631219,2722.445934
1005632219,2463.54634
1005633219,1312.993413
1005634219,448.506651
1005635219,87.662954
1005636219,3.98725
1005636985,4083.526908
1005637985,-826.786476
1005638985,-3176.8377
1005639985,-4084.096636
1005640985,-6227.075135
1005641985,-9817.287237
1005642985,-11426.22017
1005643985,-8463.820051
1005644985,-3464.865705
1005645985,-468.839932
1005646750,-8548.75047
1005647750,-17870.46075
1005648750,-17405.61335
1005649750,-11999.14562
1005650750,-7436.595827
1005651750,-4561.95136
1005652750,-2131.969422
1005653750,-343.557768
1005654750,268.107452
1005655750,218.712214
1005656516,-5140.091816
1005657516,-14215.17163
1005658516,-14797.70357
1005659516,-10885.16261
1005660516,-7938.437089
1005661516,-6888.164874
